review_id,texto_review,sentimento
1,Estou muito feliz com a compra. O cadeira gamer é incrível e chegou no prazo.,positivo
2,,negativo
3,Não recomendo. A entrega foi lenta e o celular não é como na foto.,negativo
4,O monitor é decepcionante. O suporte ao cliente foi horrível.,positivo
5,É UM LIVRO OK PELO PRÇEO QUE PAGUEI.,negativo
6,Não rceomendo. A entrega atrasou muito e o monitor não é como na foto.,positivo
7,Péssima experiência. O livro quebrou no primeiro dia de uso. Decepcionado.,negativo
8,Recebi o fone de ouvido hoje. Vou começar a usar para ver se é bom.,positivo
9,Estou muito arrependido com esta compra. Dinheiro jogado fora.,negativo
10,Ótimo custo-benefício. O celular é excelente e muito útil.,positivo
11,Ótimo custo-benefício. O livro é fantástica e muito útil.,positivo
12,Ótimo custo-benefício. O teclado é muito boa e muito útil.,positivo
13,Odiei o fone de ouvido. Qualidade decepcionante e veio com defeito.,negativo
14,RECEBI O CADEIRA GAMER HOJE. VOU COMEÇAR A USAR PARA VER SE É BOM.,negativo
15,Odiei o notebook. Qualidade péssima e veio com defeito.,negativo
16,Ótimo custo-benefício. O fone de ouvido é incrível e muito útil.,positivo
17,Péssima experiência. O mouse quebrou no primeiro dia de uso. Decepcionado.,negativo
18,,positivo
19,Simplesmente perfeito! O notebook funciona muito bem e o design é lindo.,positivo
20,É um mouse ok pelo preço que paguei.,positivo
21,Ótimo custo-benefício. O livro é muito boa e muito útil.,positivo
22,Não recomendo. A entrega foi lenta e o notebook não é como na foto.,negativo
23,Amei o celular! A qualidade é incrível e a netrega foi no prazo.,negativo
24,"A embalagem do livro chegou um pouco amassada, mas o produto está intacto.",negativo
25,Ótimo custo-benefício. O mouse é fantástica e muito útil.,positivo
26,"A cor do fone de ouivdo é um pouco diferente do que eu esperava, mas tudo bem.",negativo
27,"Excelente mouse, superou minhas expectativas. Recomendo a todos!",positivo
28,O mouse é exatamente como descrito no anúncio. Faz o que promete.,negativo
29,Péssima experiência. O fone de ouvido quebrou no primeiro dia de uso. eDcepcionado.,negativo
30,ODIEI O CADEIRA GAMER. QUALIDADE DECEPCIONANTE E VEIO COM DEFEITO.,negativo
31,,negativo
32,É um livro ok pelo preço que paguei.,positivo
33,Péssima experiência. O notebook quebrou no primeiro dia de uso. Decepcionado.,negativo
34,Estou muito impressionado com a compra. O mouse é incrível e chegou eficiente.,positivo
35,Simplesmente perfeito! O celular funciona muiot bem e o design é lindo.,positivo
36,Odiei o monitor. Qualidade horrível e veio com defeito.,negativo
37,,negativo
38,Estou muito satisfeito com a compra. O teclado é incrível e chegou super rápida.,positivo
39,Estou muito arrependido com esta compra. Dinheiro jogado fora.,negativo
40,"Excelente teclado, superou minhas expectativas. Recomendo a todos!",positivo
41,"A cor do livro é um pouco diferente do que eu esperava, mas tudo bem.",positivo
42,Simplesmente perfeito! O cadeira gamer funcoina muito bem e o design é lindo.,positivo
43,O fone de ouvido é péssima. O suporte ao cliente foi horrível.,negativo
44,Odiei o cadeira gamer. Qualidade de baixa qualidade e veio com defeito.,negativo
45,Não recomendo. A entrega atrasou muito e o mouse não é como na foto.,negativo
46,Recebi o mouse hoje. Vou começar a usar para ver se é bom.,positivo
47,Simplesmente perfeito! O fone de ouvido funciona muito bem e o design é lindo.,positivo
48,Estou muito satisfeito com a compra. O mouse é incrível e chegou pontual.,positivo
49,Não recomendo. A entrega atrasou muito e o livro não é como na foto.,negativo
50,Recebi o celular hoje. Vou começar a usar para ver se é bom.,positivo
51,O cadeira gamer é péssima. O suporte ao cliente foi horrível.,negativo
52,Estou muito frustrado com esta compra. Dinheiro jogado fora.,negativo
53,Ótimo custo-benefício. O teclado é fantástica e muito útil.,positivo
54,RECEBI O CELULAR HOJE. VOU COMEÇAR A USAR PARA VER SE É BOM.,positivo
55,Estou muito decepcionado com esta compra. Dinheiro jogado fora.,negativo
56,AMEI O CADEIRA GAMER! A QUALIDADE É ÓTIMA E A ENTREGA FOI PONTUAL.,positivo
57,Recebi o mouse hoje. Vou começar a usar para ver se é bom.,negativo
58,"A cor do monitor é um pouco diferente do que eu esperava, mas tudo bem.",negativo
59,O celular é horrível. O suporte ao cliente foi horrível.,negativo
60,Ótimo custo-benefício. O notebook é muito boa e muito útil.,positivo
61,Simplesmente perfeito! O celular funciona muito bem e o design é lindo.,positivo
62,Estou muito feliz com a compra. O cadeira gamer é incrível e chegou eficiente.,positivo
63,Simplesmente perfeito! O mouse funciona muito bem e o design é lindo.,positivo
64,Amei o livro! A qualidade é ótima e a entrega foi eficiente.,positivo
65,Estou muito frustrado com esta compra. Dinheiro jogado fora.,negativo
66,"Excelente cadeira gamer, superou minhas expectativas. Recomendo a todos!",positivo
67,Amei o notebook! A qualidade é muito boa e a entrega foi no prazo.,positivo
68,Péssima experiência. O livro quebrou no primeiro dia de uso. Decepcionado.,negativo
69,Ótimo custo-benefício. O cadeira gamer é incrível e muito útil.,positivo
70,Simplesmente perfeito! O monitor funciona muito bem e o design é lindo.,positivo
71,Não recomendo. A entrega foi lenta e o cadeira gamer não é como na foto.,negativo
72,Péssima experiência. O fnoe de ouvido quebrou no primeiro dia de uso. Decepcionado.,negativo
73,O monitor é exatamente como descrito no anúncio. Faz o que promete.,negativo
74,Odiei o teclado. Qualidade péssima e veio com defeito.,negativo
75,Estou muito frustrado com esta compra. Dinheiro jogado fora.,negativo
76,O fone de ouvido é exatamente como descrito no anúncio. Faz o que promete.,positivo
77,Simplesmente perfeito! O monitor funciona muito bem e o design é lindo.,positivo
78,Odiei o fone de ouvido. Qualidade decepcionante e veio com defeito.,negativo
79,Odiei o monitor. Qualidade péssima e veio com defeito.,negativo
80,"A embalagem do celular chegou um pouco amassada, mas o produto está intacto.",positivo
81,Estou muito arrependido com esta compra. Dinheiro jogado fora.,negativo
82,"A cor do celular é um pouco diferente do que eu esperava, mas tudo bem.",positivo
83,Ótimo custo-benefício. O fone de ouvido é ótima e muito útil.,negativo
84,NÃO RECOMENDO. A ENTREGA ATRASOU MUITO E O CELULAR NÃO É COMO NA FOTO.,negativo
85,Odiei o celular. Qualidade de baixa qualidade e veio com defeito.,positivo
86,Simplesmente perfeito! O livro funciona muito bem e o design é lindo.,positivo
87,O monitor é de baixa qualidade. O suporte ao cliente foi horrível.,negativo
88,O fone de ouvido é decepcionante. O suporte ao cliente foi horrível.,negativo
89,ESTOU MUITO DECEPCIONADO COM ESTA COMPRA. DINHEIRO JOGADO FORA.,negativo
90,Odiei o notebook. Qualidade horrível e veio com defeito.,negativo
91,Estou muito feliz com a compra. O celular é incrível e chegou super rápida.,positivo
92,O livro é decepcionante. O suporte ao cliente foi horrível.,negativo
93,Ótimo custo-benefício. O mouse é muito boa e umito útil.,positivo
94,Amei o teclado! A qualidade é fantástica e a entrega foi pontual.,positivo
95,AMEI O CELULAR! A QUALIDADE É INCRÍVEL E A ENTREGA FOI PONTUAL.,positivo
96,O notebook é de baixa qualidade. O suporte ao cliente foi horrível.,negativo
